Time;Bundesland;BundeslandID;AnzEinwohner;AnzahlFaelle;AnzahlFaelleSum;AnzahlFaelle7Tage;SiebenTageInzidenzFaelle;AnzahlTotTaeglich;AnzahlTotSum;AnzahlGeheiltTaeglich;AnzahlGeheiltSum
20.02.2022 00:00:00;Kärnten;2;562089;1262;155559;11296;2009,646;2;1159;2208;139463
20.02.2022 00:00:00;Niederösterreich;3;1690879;4418;417552;39622;2343,278;3;2226;5834;368098
20.02.2022 00:00:00;Oberösterreich;4;1495608;3612;466155;34768;2324,673;0;2475;5901;416319
20.02.2022 00:00:00;Salzburg;5;560710;1297;196243;10835;1932,371;3;844;2064;180238
20.02.2022 00:00:00;Steiermark;6;1247077;2430;305607;27106;2173,563;2;2606;3614;270274
20.02.2022 00:00:00;Tirol;7;760105;1905;255658;17520;2304,945;4;879;2474;234241
20.02.2022 00:00:00;Vorarlberg;8;399237;1130;122740;8899;2229,002;1;481;1344;109718
20.02.2022 00:00:00;Wien;9;1920949;4532;525406;41380;2154,144;3;3013;4870;437576
20.02.2022 00:00:00;Österreich;10;8932664;21473;2508974;196573;2200,609;19;14107;28994;2212162
21.02.2022 00:00:00;Burgenland;1;296010;702;64756;5214;1761,427;0;424;861;57096
21.02.2022 00:00:00;Kärnten;2;562089;1446;157005;11242;2000,039;3;1162;1856;141319
21.02.2022 00:00:00;Niederösterreich;3;1690879;4557;422109;39056;2309,804;2;2228;5038;373136
21.02.2022 00:00:00;Oberösterreich;4;1495608;3406;469561;33456;2236,95;5;2480;4976;421295
21.02.2022 00:00:00;Salzburg;5;560710;1332;197575;11048;1970,359;1;845;1953;182191
21.02.2022 00:00:00;Steiermark;6;1247077;3038;308645;27052;2169,232;3;2609;4073;274347
21.02.2022 00:00:00;Tirol;7;760105;3497;259155;18094;2380,461;1;880;2506;236747
21.02.2022 00:00:00;Vorarlberg;8;399237;1378;124118;8852;2217,229;3;484;1495;111213
21.02.2022 00:00:00;Wien;9;1920949;4479;529885;39777;2070,695;9;3022;5837;443413
21.02.2022 00:00:00;Österreich;10;8932664;23835;2532809;193791;2169,465;27;14134;28595;2240757
22.02.2022 00:00:00;Burgenland;1;296010;1212;65968;5639;1905,003;2;426;711;57807
22.02.2022 00:00:00;Kärnten;2;562089;2271;159276;11498;2045,583;4;1166;1849;143168
22.02.2022 00:00:00;Niederösterreich;3;1690879;7663;429772;37899;2241,379;5;2233;5528;378664
